starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 00:11:46 2015	1429503106	317	155	472	155
Mon Apr 20 00:11:43 2015	1429503103	317	161	478	161
Mon Apr 20 00:11:47 2015	1429503107	317	164	481	164
Mon Apr 20 00:11:46 2015	1429503106	331	158	489	158
Mon Apr 20 00:11:44 2015	1429503104	332	165	497	164
Mon Apr 20 00:11:45 2015	1429503105	333	164	497	164
Mon Apr 20 00:11:47 2015	1429503107	339	162	501	162
Mon Apr 20 00:11:45 2015	1429503105	345	157	502	157
Mon Apr 20 00:11:44 2015	1429503104	340	163	503	163
Mon Apr 20 00:11:43 2015	1429503103	343	174	516	173
