starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:38:19 2015	1428647899	91	244	335	239
Fri Apr 10 02:38:26 2015	1428647906	109	246	355	243
Fri Apr 10 02:38:13 2015	1428647893	97	262	359	256
Fri Apr 10 02:38:30 2015	1428647910	95	265	359	263
Fri Apr 10 02:38:29 2015	1428647909	94	271	365	266
Fri Apr 10 02:38:13 2015	1428647893	113	266	380	261
Fri Apr 10 02:38:20 2015	1428647900	98	292	390	291
Fri Apr 10 02:38:23 2015	1428647903	102	289	391	286
Fri Apr 10 02:38:15 2015	1428647895	102	293	395	283
Fri Apr 10 02:38:27 2015	1428647907	97	307	404	306
Fri Apr 10 02:38:14 2015	1428647894	92	327	419	325
Fri Apr 10 02:38:30 2015	1428647910	96	323	419	321
Fri Apr 10 02:38:29 2015	1428647909	89	331	419	329
Fri Apr 10 02:38:24 2015	1428647904	94	328	422	323
Fri Apr 10 02:38:28 2015	1428647908	132	292	424	286
Fri Apr 10 02:38:29 2015	1428647909	97	332	429	329
Fri Apr 10 02:38:16 2015	1428647896	99	336	435	331
Fri Apr 10 02:38:24 2015	1428647904	102	352	454	351
Fri Apr 10 02:38:22 2015	1428647902	100	361	461	359
Fri Apr 10 02:38:12 2015	1428647892	90	373	464	370
Fri Apr 10 02:38:21 2015	1428647901	89	379	467	373
Fri Apr 10 02:38:22 2015	1428647902	112	362	474	361
Fri Apr 10 02:38:18 2015	1428647898	105	375	480	371
Fri Apr 10 02:38:19 2015	1428647899	102	392	493	388
Fri Apr 10 02:38:21 2015	1428647901	110	384	495	379
Fri Apr 10 02:38:12 2015	1428647892	98	397	495	395
Fri Apr 10 02:38:11 2015	1428647891	87	438	525	432
Fri Apr 10 02:38:17 2015	1428647897	109	420	529	417
Fri Apr 10 02:38:15 2015	1428647895	104	425	529	425
Fri Apr 10 02:38:23 2015	1428647903	99	435	535	428
Fri Apr 10 02:38:18 2015	1428647898	103	460	564	458
Fri Apr 10 02:38:26 2015	1428647906	122	458	580	457
Fri Apr 10 02:38:20 2015	1428647900	96	493	588	491
Fri Apr 10 02:38:16 2015	1428647896	104	484	588	479
Fri Apr 10 02:38:24 2015	1428647904	102	493	595	488
Fri Apr 10 02:38:14 2015	1428647894	103	496	599	494
Fri Apr 10 02:38:27 2015	1428647907	96	503	599	503
Fri Apr 10 02:38:25 2015	1428647905	92	525	617	522
Fri Apr 10 02:38:17 2015	1428647897	89	530	619	526
Fri Apr 10 02:38:28 2015	1428647908	105	518	623	513
