starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 06:33:59 2015	1428575639	34	246	280	243
Thu Apr 09 06:34:03 2015	1428575643	40	249	289	246
Thu Apr 09 06:34:12 2015	1428575652	33	262	294	256
Thu Apr 09 06:34:06 2015	1428575646	38	261	298	251
Thu Apr 09 06:34:12 2015	1428575652	34	265	300	261
Thu Apr 09 06:34:04 2015	1428575644	35	268	303	266
Thu Apr 09 06:34:11 2015	1428575651	35	268	303	265
Thu Apr 09 06:34:00 2015	1428575640	36	294	330	293
Thu Apr 09 06:34:16 2015	1428575656	39	297	335	295
Thu Apr 09 06:34:00 2015	1428575640	36	304	340	302
Thu Apr 09 06:34:10 2015	1428575650	36	309	345	306
Thu Apr 09 06:34:08 2015	1428575648	36	314	351	310
Thu Apr 09 06:34:09 2015	1428575649	38	317	355	313
Thu Apr 09 06:34:03 2015	1428575643	38	325	363	323
Thu Apr 09 06:34:01 2015	1428575641	39	325	364	322
Thu Apr 09 06:34:15 2015	1428575655	37	333	370	331
Thu Apr 09 06:34:05 2015	1428575645	38	342	380	340
Thu Apr 09 06:34:04 2015	1428575644	36	384	420	381
Thu Apr 09 06:34:08 2015	1428575648	53	381	434	377
Thu Apr 09 06:34:02 2015	1428575642	37	398	435	396
Thu Apr 09 06:34:00 2015	1428575640	43	397	440	394
Thu Apr 09 06:34:08 2015	1428575648	37	408	445	407
Thu Apr 09 06:34:03 2015	1428575643	37	414	450	413
Thu Apr 09 06:34:13 2015	1428575653	35	421	456	413
Thu Apr 09 06:34:10 2015	1428575650	36	429	465	426
Thu Apr 09 06:34:09 2015	1428575649	35	445	480	439
Thu Apr 09 06:34:06 2015	1428575646	52	435	486	431
Thu Apr 09 06:34:16 2015	1428575656	37	453	490	448
Thu Apr 09 06:34:05 2015	1428575645	39	456	495	454
Thu Apr 09 06:34:14 2015	1428575654	36	478	514	474
Thu Apr 09 06:34:14 2015	1428575654	37	488	524	484
Thu Apr 09 06:34:04 2015	1428575644	33	501	534	500
Thu Apr 09 06:34:02 2015	1428575642	34	511	545	509
Thu Apr 09 06:34:01 2015	1428575641	39	510	549	509
Thu Apr 09 06:34:15 2015	1428575655	39	520	560	518
Thu Apr 09 06:34:13 2015	1428575653	34	526	560	525
Thu Apr 09 06:34:11 2015	1428575651	36	530	565	527
Thu Apr 09 06:34:11 2015	1428575651	38	533	571	533
Thu Apr 09 06:34:07 2015	1428575647	37	538	575	537
Thu Apr 09 06:34:07 2015	1428575647	36	543	580	540
