starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:00:46 2015	1429524046	34	59	93	55
Mon Apr 20 06:00:46 2015	1429524046	36	64	100	60
Mon Apr 20 06:00:47 2015	1429524047	34	70	103	64
Mon Apr 20 06:00:47 2015	1429524047	33	71	104	67
Mon Apr 20 06:00:46 2015	1429524046	40	70	109	66
Mon Apr 20 06:00:46 2015	1429524046	37	74	111	70
Mon Apr 20 06:00:46 2015	1429524046	33	84	118	60
Mon Apr 20 06:00:46 2015	1429524046	37	83	120	60
Mon Apr 20 06:00:46 2015	1429524046	31	96	126	71
Mon Apr 20 06:00:46 2015	1429524046	34	92	126	67
