starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 05:46:18 2015	1428572778	35	49	84	47
Thu Apr 09 05:46:19 2015	1428572779	37	53	89	51
Thu Apr 09 05:46:19 2015	1428572779	37	53	90	50
Thu Apr 09 05:46:18 2015	1428572778	36	56	92	49
Thu Apr 09 05:46:19 2015	1428572779	34	59	94	54
Thu Apr 09 05:46:19 2015	1428572779	40	55	95	50
Thu Apr 09 05:46:18 2015	1428572778	41	54	95	52
Thu Apr 09 05:46:18 2015	1428572778	40	60	100	55
Thu Apr 09 05:46:18 2015	1428572778	45	57	103	51
Thu Apr 09 05:46:19 2015	1428572779	58	53	111	51
