starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 00:33:55 2015	1429504435	82	31	114	27
Mon Apr 20 00:33:54 2015	1429504434	91	25	116	24
Mon Apr 20 00:33:55 2015	1429504435	92	27	119	25
Mon Apr 20 00:33:54 2015	1429504434	92	31	124	28
Mon Apr 20 00:33:54 2015	1429504434	100	35	134	24
Mon Apr 20 00:33:54 2015	1429504434	103	33	136	30
Mon Apr 20 00:33:54 2015	1429504434	107	31	138	30
Mon Apr 20 00:33:54 2015	1429504434	109	29	138	25
Mon Apr 20 00:33:53 2015	1429504433	138	44	182	42
Mon Apr 20 00:33:54 2015	1429504434	142	45	187	41
