starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 01:34:58 2015	1429508098	470	601	1071	155
Mon Apr 20 01:35:01 2015	1429508101	481	593	1074	153
Mon Apr 20 01:34:57 2015	1429508097	478	601	1079	153
Mon Apr 20 01:34:59 2015	1429508099	477	602	1079	154
Mon Apr 20 01:35:05 2015	1429508105	491	599	1090	153
Mon Apr 20 01:35:00 2015	1429508100	496	630	1125	161
Mon Apr 20 01:34:56 2015	1429508096	466	737	1203	150
Mon Apr 20 01:35:04 2015	1429508104	478	745	1223	154
Mon Apr 20 01:35:03 2015	1429508103	497	761	1258	155
Mon Apr 20 01:34:53 2015	1429508093	496	2150	2646	1666
