starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 01:13:58 2015	1429506838	80	22	102	21
Mon Apr 20 01:13:59 2015	1429506839	83	21	104	20
Mon Apr 20 01:13:59 2015	1429506839	87	24	111	24
Mon Apr 20 01:13:59 2015	1429506839	90	23	113	23
Mon Apr 20 01:13:59 2015	1429506839	87	27	114	27
Mon Apr 20 01:14:00 2015	1429506840	90	25	115	24
Mon Apr 20 01:13:59 2015	1429506839	94	23	116	22
Mon Apr 20 01:13:59 2015	1429506839	100	24	124	23
Mon Apr 20 01:13:59 2015	1429506839	102	27	129	26
Mon Apr 20 01:13:59 2015	1429506839	110	26	137	25
