starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 00:12:52 2015	1429503172	180	391	571	391
Mon Apr 20 00:12:47 2015	1429503167	125	447	572	447
Mon Apr 20 00:12:47 2015	1429503167	117	480	598	480
Mon Apr 20 00:12:48 2015	1429503168	121	544	665	544
Mon Apr 20 00:12:51 2015	1429503171	184	510	694	510
Mon Apr 20 00:12:51 2015	1429503171	197	540	737	540
Mon Apr 20 00:12:50 2015	1429503170	188	549	737	549
Mon Apr 20 00:12:48 2015	1429503168	250	489	739	489
Mon Apr 20 00:12:49 2015	1429503169	286	487	773	487
Mon Apr 20 00:12:44 2015	1429503164	147	1942	2089	1941
