starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 01:28:29 2015	1429507709	322	108	430	108
Mon Apr 20 01:28:32 2015	1429507712	327	104	430	103
Mon Apr 20 01:28:28 2015	1429507708	322	110	432	110
Mon Apr 20 01:28:31 2015	1429507711	323	111	434	110
Mon Apr 20 01:28:28 2015	1429507708	330	109	439	109
Mon Apr 20 01:28:30 2015	1429507710	338	108	446	107
Mon Apr 20 01:28:29 2015	1429507709	337	110	447	110
Mon Apr 20 01:28:31 2015	1429507711	340	110	450	110
Mon Apr 20 01:28:30 2015	1429507710	343	117	460	117
Mon Apr 20 01:28:28 2015	1429507708	357	116	473	115
