starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 07:30:10 2015	1428579010	56	294	350	293
Thu Apr 09 07:30:07 2015	1428579007	65	305	370	303
Thu Apr 09 07:30:10 2015	1428579010	54	320	374	318
Thu Apr 09 07:30:12 2015	1428579012	57	321	378	317
Thu Apr 09 07:30:08 2015	1428579008	52	378	430	377
Thu Apr 09 07:30:09 2015	1428579009	75	398	472	379
Thu Apr 09 07:30:09 2015	1428579009	69	436	505	431
Thu Apr 09 07:30:08 2015	1428579008	53	502	555	500
Thu Apr 09 07:30:11 2015	1428579011	72	524	596	518
Thu Apr 09 07:30:10 2015	1428579010	78	535	614	531
