starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:16:35 2015	1428646595	91	42	133	40
Fri Apr 10 02:16:37 2015	1428646597	94	42	136	40
Fri Apr 10 02:16:36 2015	1428646596	92	45	137	43
Fri Apr 10 02:16:37 2015	1428646597	94	43	137	40
Fri Apr 10 02:16:36 2015	1428646596	93	44	138	42
Fri Apr 10 02:16:38 2015	1428646598	96	44	139	42
Fri Apr 10 02:16:37 2015	1428646597	97	46	142	45
Fri Apr 10 02:16:35 2015	1428646595	96	48	144	44
Fri Apr 10 02:16:37 2015	1428646597	98	46	144	42
Fri Apr 10 02:16:35 2015	1428646595	94	50	144	45
Fri Apr 10 02:16:36 2015	1428646596	99	46	145	44
Fri Apr 10 02:16:38 2015	1428646598	95	50	145	44
Fri Apr 10 02:16:36 2015	1428646596	100	46	146	43
Fri Apr 10 02:16:37 2015	1428646597	101	46	147	44
Fri Apr 10 02:16:36 2015	1428646596	102	46	148	41
Fri Apr 10 02:16:36 2015	1428646596	101	47	148	44
Fri Apr 10 02:16:37 2015	1428646597	100	49	149	45
Fri Apr 10 02:16:36 2015	1428646596	100	50	150	44
Fri Apr 10 02:16:37 2015	1428646597	106	44	150	42
Fri Apr 10 02:16:35 2015	1428646595	119	47	166	44
