starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:54:43 2015	1429523683	53	63	116	59
Mon Apr 20 05:54:43 2015	1429523683	59	63	122	59
Mon Apr 20 05:54:43 2015	1429523683	78	63	141	59
Mon Apr 20 05:54:43 2015	1429523683	59	83	142	55
Mon Apr 20 05:54:43 2015	1429523683	65	79	143	58
Mon Apr 20 05:54:44 2015	1429523684	64	81	145	58
Mon Apr 20 05:54:44 2015	1429523684	60	85	146	58
Mon Apr 20 05:54:43 2015	1429523683	62	87	149	61
Mon Apr 20 05:54:44 2015	1429523684	69	85	154	58
Mon Apr 20 05:54:44 2015	1429523684	64	110	174	64
