starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:05:34 2015	1429524334	125	142	267	131
Mon Apr 20 06:05:33 2015	1429524333	103	170	273	135
Mon Apr 20 06:05:32 2015	1429524332	105	218	322	130
Mon Apr 20 06:05:32 2015	1429524332	103	225	328	134
Mon Apr 20 06:05:33 2015	1429524333	103	227	330	136
Mon Apr 20 06:05:33 2015	1429524333	105	225	330	134
Mon Apr 20 06:05:34 2015	1429524334	105	228	333	136
Mon Apr 20 06:05:32 2015	1429524332	104	234	338	134
Mon Apr 20 06:05:31 2015	1429524331	194	227	421	136
Mon Apr 20 06:05:34 2015	1429524334	105	448	553	340
