starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 02:03:36 2015	1429509816	187	239	426	200
Mon Apr 20 02:03:37 2015	1429509817	191	236	427	196
Mon Apr 20 02:03:38 2015	1429509818	191	239	430	199
Mon Apr 20 02:03:37 2015	1429509817	190	243	433	202
Mon Apr 20 02:03:38 2015	1429509818	189	244	434	199
Mon Apr 20 02:03:40 2015	1429509820	197	238	435	200
Mon Apr 20 02:03:39 2015	1429509819	198	243	441	199
Mon Apr 20 02:03:36 2015	1429509816	197	244	441	203
Mon Apr 20 02:03:39 2015	1429509819	202	242	444	200
Mon Apr 20 02:03:39 2015	1429509819	186	266	452	203
