starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 03:33:38 2015	1429515218	64	66	130	61
Mon Apr 20 03:33:37 2015	1429515217	57	86	144	62
Mon Apr 20 03:33:37 2015	1429515217	61	91	152	65
Mon Apr 20 03:33:38 2015	1429515218	65	87	153	61
Mon Apr 20 03:33:38 2015	1429515218	65	88	153	60
Mon Apr 20 03:33:37 2015	1429515217	65	90	155	64
Mon Apr 20 03:33:38 2015	1429515218	73	84	158	56
Mon Apr 20 03:33:38 2015	1429515218	72	85	158	60
Mon Apr 20 03:33:37 2015	1429515217	83	80	163	56
Mon Apr 20 03:33:37 2015	1429515217	86	92	178	62
