starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:54:32 2015	1428648872	71	265	337	264
Fri Apr 10 02:54:35 2015	1428648875	76	274	349	268
Fri Apr 10 02:54:34 2015	1428648874	96	274	370	271
Fri Apr 10 02:54:32 2015	1428648872	90	294	384	292
Fri Apr 10 02:54:33 2015	1428648873	67	332	399	329
Fri Apr 10 02:54:35 2015	1428648875	73	339	412	337
Fri Apr 10 02:54:34 2015	1428648874	90	336	425	333
Fri Apr 10 02:54:32 2015	1428648872	89	345	434	341
Fri Apr 10 02:54:33 2015	1428648873	75	399	474	398
Fri Apr 10 02:54:35 2015	1428648875	84	419	502	417
