starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:51:24 2015	1429523484	58	65	123	60
Mon Apr 20 05:51:24 2015	1429523484	58	65	123	61
Mon Apr 20 05:51:24 2015	1429523484	62	63	125	56
Mon Apr 20 05:51:24 2015	1429523484	58	69	126	61
Mon Apr 20 05:51:23 2015	1429523483	62	68	129	62
Mon Apr 20 05:51:23 2015	1429523483	70	64	134	58
Mon Apr 20 05:51:23 2015	1429523483	61	87	147	60
Mon Apr 20 05:51:23 2015	1429523483	66	84	150	61
Mon Apr 20 05:51:24 2015	1429523484	63	88	151	63
Mon Apr 20 05:51:24 2015	1429523484	113	80	193	71
