starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:01:28 2015	1429524088	25	67	92	48
Mon Apr 20 06:01:27 2015	1429524087	27	68	95	49
Mon Apr 20 06:01:27 2015	1429524087	29	74	104	52
Mon Apr 20 06:01:28 2015	1429524088	31	76	107	51
Mon Apr 20 06:01:28 2015	1429524088	31	77	108	54
Mon Apr 20 06:01:27 2015	1429524087	33	80	114	56
Mon Apr 20 06:01:27 2015	1429524087	39	77	115	54
Mon Apr 20 06:01:28 2015	1429524088	35	80	115	56
Mon Apr 20 06:01:28 2015	1429524088	33	83	117	58
Mon Apr 20 06:01:27 2015	1429524087	53	75	127	51
