starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 04:19:13 2015	1429517953	136	40	176	40
Mon Apr 20 04:19:12 2015	1429517952	138	42	179	40
Mon Apr 20 04:19:13 2015	1429517953	138	43	181	43
Mon Apr 20 04:19:12 2015	1429517952	141	42	183	41
Mon Apr 20 04:19:12 2015	1429517952	144	40	184	40
Mon Apr 20 04:19:13 2015	1429517953	144	41	185	40
Mon Apr 20 04:19:13 2015	1429517953	145	40	185	39
Mon Apr 20 04:19:14 2015	1429517954	137	49	186	48
Mon Apr 20 04:19:13 2015	1429517953	150	41	191	40
Mon Apr 20 04:19:12 2015	1429517952	158	40	198	39
