starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 01:15:57 2015	1429506957	189	484	673	93
Mon Apr 20 01:15:55 2015	1429506955	195	484	679	93
Mon Apr 20 01:15:53 2015	1429506953	197	520	716	102
Mon Apr 20 01:15:58 2015	1429506958	206	540	746	98
Mon Apr 20 01:15:52 2015	1429506952	189	565	754	203
Mon Apr 20 01:15:56 2015	1429506956	206	584	790	98
Mon Apr 20 01:15:53 2015	1429506953	193	637	830	199
Mon Apr 20 01:15:54 2015	1429506954	198	644	842	180
Mon Apr 20 01:15:51 2015	1429506951	185	704	889	265
Mon Apr 20 01:15:57 2015	1429506957	202	690	892	210
