starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:55:05 2015	1429523705	32	82	113	58
Mon Apr 20 05:55:04 2015	1429523704	35	83	118	58
Mon Apr 20 05:55:04 2015	1429523704	32	87	119	60
Mon Apr 20 05:55:04 2015	1429523704	31	89	121	57
Mon Apr 20 05:55:05 2015	1429523705	37	84	121	60
Mon Apr 20 05:55:04 2015	1429523704	36	86	122	61
Mon Apr 20 05:55:04 2015	1429523704	43	84	127	58
Mon Apr 20 05:55:05 2015	1429523705	35	92	127	67
Mon Apr 20 05:55:04 2015	1429523704	64	85	149	59
Mon Apr 20 05:55:05 2015	1429523705	62	89	151	64
