starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 00:04:24 2015	1429502664	250	127	378	127
Mon Apr 20 00:04:26 2015	1429502666	252	126	379	126
Mon Apr 20 00:04:25 2015	1429502665	258	126	384	126
Mon Apr 20 00:04:24 2015	1429502664	260	127	387	126
Mon Apr 20 00:04:26 2015	1429502666	258	129	387	129
Mon Apr 20 00:04:27 2015	1429502667	260	127	388	127
Mon Apr 20 00:04:23 2015	1429502663	260	130	390	130
Mon Apr 20 00:04:26 2015	1429502666	260	134	395	134
Mon Apr 20 00:04:24 2015	1429502664	260	136	395	136
Mon Apr 20 00:04:25 2015	1429502665	271	138	408	138
