starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 01:02:53 2015	1428642173	78	251	329	249
Fri Apr 10 01:02:54 2015	1428642174	66	284	350	281
Fri Apr 10 01:03:00 2015	1428642180	66	309	374	308
Fri Apr 10 01:02:57 2015	1428642177	68	331	399	327
Fri Apr 10 01:03:00 2015	1428642180	63	342	405	339
Fri Apr 10 01:03:01 2015	1428642181	68	337	406	331
Fri Apr 10 01:02:55 2015	1428642175	58	361	420	357
Fri Apr 10 01:02:54 2015	1428642174	66	354	420	352
Fri Apr 10 01:03:01 2015	1428642181	61	364	425	362
Fri Apr 10 01:02:54 2015	1428642174	76	366	443	366
Fri Apr 10 01:03:01 2015	1428642181	69	380	449	379
Fri Apr 10 01:02:58 2015	1428642178	62	404	466	399
Fri Apr 10 01:02:56 2015	1428642176	74	410	485	410
Fri Apr 10 01:03:02 2015	1428642182	68	430	498	426
Fri Apr 10 01:02:55 2015	1428642175	77	436	513	434
Fri Apr 10 01:02:59 2015	1428642179	67	459	526	458
Fri Apr 10 01:02:56 2015	1428642176	68	468	536	467
Fri Apr 10 01:02:58 2015	1428642178	68	511	580	510
Fri Apr 10 01:02:57 2015	1428642177	73	511	585	504
Fri Apr 10 01:02:59 2015	1428642179	72	531	604	529
