starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 01:03:26 2015	1428642206	68	257	325	256
Fri Apr 10 01:03:24 2015	1428642204	66	263	329	258
Fri Apr 10 01:03:27 2015	1428642207	71	260	330	259
Fri Apr 10 01:03:32 2015	1428642212	74	266	339	262
Fri Apr 10 01:03:25 2015	1428642205	70	269	340	268
Fri Apr 10 01:03:19 2015	1428642199	69	275	344	270
Fri Apr 10 01:03:27 2015	1428642207	70	280	350	274
Fri Apr 10 01:03:21 2015	1428642201	60	298	358	296
Fri Apr 10 01:03:20 2015	1428642200	73	293	366	287
Fri Apr 10 01:03:18 2015	1428642198	67	317	384	294
Fri Apr 10 01:03:27 2015	1428642207	74	316	390	313
Fri Apr 10 01:03:17 2015	1428642197	73	337	410	334
Fri Apr 10 01:03:19 2015	1428642199	64	356	420	354
Fri Apr 10 01:03:31 2015	1428642211	64	361	425	356
Fri Apr 10 01:03:25 2015	1428642205	66	364	430	359
Fri Apr 10 01:03:25 2015	1428642205	76	354	430	352
Fri Apr 10 01:03:30 2015	1428642210	70	365	435	364
Fri Apr 10 01:03:30 2015	1428642210	69	387	456	380
Fri Apr 10 01:03:29 2015	1428642209	67	396	463	394
Fri Apr 10 01:03:18 2015	1428642198	70	396	466	393
Fri Apr 10 01:03:26 2015	1428642206	65	410	474	406
Fri Apr 10 01:03:28 2015	1428642208	70	405	475	402
Fri Apr 10 01:03:22 2015	1428642202	71	406	477	403
Fri Apr 10 01:03:28 2015	1428642208	69	415	484	414
Fri Apr 10 01:03:23 2015	1428642203	74	410	484	406
Fri Apr 10 01:03:32 2015	1428642212	63	427	490	421
Fri Apr 10 01:03:21 2015	1428642201	75	439	514	435
Fri Apr 10 01:03:32 2015	1428642212	76	439	515	433
Fri Apr 10 01:03:31 2015	1428642211	63	457	519	451
Fri Apr 10 01:03:23 2015	1428642203	70	475	545	472
Fri Apr 10 01:03:35 2015	1428642215	85	464	550	459
Fri Apr 10 01:03:20 2015	1428642200	72	498	570	496
Fri Apr 10 01:03:22 2015	1428642202	74	501	575	496
Fri Apr 10 01:03:24 2015	1428642204	82	503	584	484
Fri Apr 10 01:03:33 2015	1428642213	59	531	590	528
Fri Apr 10 01:03:34 2015	1428642214	69	525	594	524
Fri Apr 10 01:03:35 2015	1428642215	71	528	600	526
Fri Apr 10 01:03:29 2015	1428642209	70	532	602	529
Fri Apr 10 01:03:18 2015	1428642198	71	539	610	532
Fri Apr 10 01:03:33 2015	1428642213	82	539	620	537
