starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 19 23:36:21 2015	1429500981	53	21	74	20
Sun Apr 19 23:36:21 2015	1429500981	73	26	100	26
Sun Apr 19 23:36:21 2015	1429500981	75	25	100	25
Sun Apr 19 23:36:22 2015	1429500982	77	25	102	24
Sun Apr 19 23:36:21 2015	1429500981	77	28	105	27
Sun Apr 19 23:36:21 2015	1429500981	71	36	107	35
Sun Apr 19 23:36:21 2015	1429500981	80	34	114	32
Sun Apr 19 23:36:21 2015	1429500981	81	33	114	32
Sun Apr 19 23:36:21 2015	1429500981	90	32	122	32
Sun Apr 19 23:36:21 2015	1429500981	112	26	138	25
