starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 01:07:04 2015	1429506424	131	86	217	42
Mon Apr 20 01:07:06 2015	1429506426	139	88	228	40
Mon Apr 20 01:07:06 2015	1429506426	142	87	229	40
Mon Apr 20 01:07:06 2015	1429506426	135	97	232	42
Mon Apr 20 01:07:04 2015	1429506424	146	89	235	41
Mon Apr 20 01:07:05 2015	1429506425	141	99	240	51
Mon Apr 20 01:07:06 2015	1429506426	144	96	240	42
Mon Apr 20 01:07:05 2015	1429506425	155	91	245	41
Mon Apr 20 01:07:05 2015	1429506425	160	87	247	42
Mon Apr 20 01:07:05 2015	1429506425	157	96	252	41
