starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 00:12:45 2015	1428639165	59	45	105	42
Fri Apr 10 00:12:45 2015	1428639165	59	46	105	42
Fri Apr 10 00:12:45 2015	1428639165	67	41	107	40
Fri Apr 10 00:12:45 2015	1428639165	63	45	108	44
Fri Apr 10 00:12:48 2015	1428639168	65	45	110	40
Fri Apr 10 00:12:45 2015	1428639165	62	48	110	46
Fri Apr 10 00:12:46 2015	1428639166	62	48	110	42
Fri Apr 10 00:12:47 2015	1428639167	63	47	110	41
Fri Apr 10 00:12:47 2015	1428639167	70	40	110	38
Fri Apr 10 00:12:44 2015	1428639164	59	51	110	46
Fri Apr 10 00:12:47 2015	1428639167	64	46	110	43
Fri Apr 10 00:12:47 2015	1428639167	63	48	111	41
Fri Apr 10 00:12:48 2015	1428639168	64	49	114	46
Fri Apr 10 00:12:46 2015	1428639166	71	43	114	41
Fri Apr 10 00:12:48 2015	1428639168	69	46	114	42
Fri Apr 10 00:12:48 2015	1428639168	68	46	114	42
Fri Apr 10 00:12:46 2015	1428639166	70	45	115	44
Fri Apr 10 00:12:48 2015	1428639168	60	55	115	51
Fri Apr 10 00:12:45 2015	1428639165	65	50	115	45
Fri Apr 10 00:12:46 2015	1428639166	73	43	116	42
Fri Apr 10 00:12:45 2015	1428639165	70	46	117	41
Fri Apr 10 00:12:47 2015	1428639167	68	49	117	45
Fri Apr 10 00:12:46 2015	1428639166	65	52	117	51
Fri Apr 10 00:12:47 2015	1428639167	71	47	118	43
Fri Apr 10 00:12:44 2015	1428639164	71	48	119	44
Fri Apr 10 00:12:44 2015	1428639164	75	44	120	42
Fri Apr 10 00:12:46 2015	1428639166	74	46	120	45
Fri Apr 10 00:12:44 2015	1428639164	76	44	120	43
Fri Apr 10 00:12:48 2015	1428639168	77	44	121	43
Fri Apr 10 00:12:44 2015	1428639164	74	48	122	41
Fri Apr 10 00:12:46 2015	1428639166	69	53	122	49
Fri Apr 10 00:12:45 2015	1428639165	75	48	123	46
Fri Apr 10 00:12:44 2015	1428639164	74	50	125	44
Fri Apr 10 00:12:47 2015	1428639167	84	45	128	40
Fri Apr 10 00:12:47 2015	1428639167	81	48	129	44
Fri Apr 10 00:12:46 2015	1428639166	75	55	129	49
Fri Apr 10 00:12:45 2015	1428639165	78	52	130	50
Fri Apr 10 00:12:44 2015	1428639164	80	50	130	48
Fri Apr 10 00:12:44 2015	1428639164	71	63	134	58
Fri Apr 10 00:12:48 2015	1428639168	88	48	136	42
Fri Apr 10 00:12:46 2015	1428639166	95	44	139	41
Fri Apr 10 00:12:43 2015	1428639163	134	46	179	41
Fri Apr 10 00:12:42 2015	1428639162	143	44	186	42
Fri Apr 10 00:12:43 2015	1428639163	139	50	190	46
Fri Apr 10 00:12:42 2015	1428639162	140	51	191	50
Fri Apr 10 00:12:42 2015	1428639162	145	57	202	45
Fri Apr 10 00:12:43 2015	1428639163	157	49	206	46
Fri Apr 10 00:12:42 2015	1428639162	168	46	215	43
Fri Apr 10 00:12:43 2015	1428639163	198	47	245	44
Fri Apr 10 00:12:42 2015	1428639162	232	48	279	43
