starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:51:02 2015	1429523462	81	69	150	63
Mon Apr 20 05:51:02 2015	1429523462	86	65	151	61
Mon Apr 20 05:51:03 2015	1429523463	79	85	164	62
Mon Apr 20 05:51:02 2015	1429523462	82	83	164	56
Mon Apr 20 05:51:03 2015	1429523463	81	85	166	59
Mon Apr 20 05:51:03 2015	1429523463	86	84	171	60
Mon Apr 20 05:51:03 2015	1429523463	83	88	171	60
Mon Apr 20 05:51:04 2015	1429523464	88	91	179	66
Mon Apr 20 05:51:03 2015	1429523463	92	99	191	64
Mon Apr 20 05:51:03 2015	1429523463	113	84	197	57
