starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 04:23:03 2015	1429518183	66	150	216	64
Mon Apr 20 04:23:03 2015	1429518183	70	154	223	67
Mon Apr 20 04:23:02 2015	1429518182	75	158	233	66
Mon Apr 20 04:23:03 2015	1429518183	84	170	253	73
Mon Apr 20 04:23:02 2015	1429518182	81	172	254	71
Mon Apr 20 04:23:01 2015	1429518181	84	177	261	77
Mon Apr 20 04:23:03 2015	1429518183	109	159	269	74
Mon Apr 20 04:23:02 2015	1429518182	89	188	276	77
Mon Apr 20 04:23:02 2015	1429518182	103	184	288	72
Mon Apr 20 04:23:00 2015	1429518180	80	1681	1761	1303
