starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:52:30 2015	1429523550	31	63	94	59
Mon Apr 20 05:52:31 2015	1429523551	33	65	98	59
Mon Apr 20 05:52:31 2015	1429523551	36	62	99	59
Mon Apr 20 05:52:30 2015	1429523550	39	65	103	60
Mon Apr 20 05:52:31 2015	1429523551	42	70	112	65
Mon Apr 20 05:52:30 2015	1429523550	38	82	120	60
Mon Apr 20 05:52:31 2015	1429523551	32	93	125	68
Mon Apr 20 05:52:30 2015	1429523550	40	89	129	61
Mon Apr 20 05:52:30 2015	1429523550	38	92	130	64
Mon Apr 20 05:52:30 2015	1429523550	59	80	139	58
