starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:02:27 2015	1429524147	56	62	118	57
Mon Apr 20 06:02:26 2015	1429524146	56	64	120	61
Mon Apr 20 06:02:27 2015	1429524147	56	66	122	60
Mon Apr 20 06:02:27 2015	1429524147	56	68	123	61
Mon Apr 20 06:02:26 2015	1429524146	58	66	124	60
Mon Apr 20 06:02:26 2015	1429524146	65	60	125	56
Mon Apr 20 06:02:27 2015	1429524147	63	65	129	59
Mon Apr 20 06:02:27 2015	1429524147	59	83	141	55
Mon Apr 20 06:02:27 2015	1429524147	58	86	144	61
Mon Apr 20 06:02:26 2015	1429524146	63	87	151	56
