starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 19 23:38:27 2015	1429501107	101	32	132	27
Sun Apr 19 23:38:28 2015	1429501108	108	31	140	28
Sun Apr 19 23:38:27 2015	1429501107	107	33	141	28
Sun Apr 19 23:38:27 2015	1429501107	104	37	141	27
Sun Apr 19 23:38:28 2015	1429501108	108	34	142	31
Sun Apr 19 23:38:27 2015	1429501107	113	31	143	29
Sun Apr 19 23:38:28 2015	1429501108	113	34	147	33
Sun Apr 19 23:38:28 2015	1429501108	118	32	150	30
Sun Apr 19 23:38:27 2015	1429501107	117	35	153	32
Sun Apr 19 23:38:27 2015	1429501107	127	37	163	31
