starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:50:55 2015	1429523455	58	64	122	57
Mon Apr 20 05:50:56 2015	1429523456	62	61	122	55
Mon Apr 20 05:50:56 2015	1429523456	59	63	122	58
Mon Apr 20 05:50:56 2015	1429523456	58	65	123	61
Mon Apr 20 05:50:56 2015	1429523456	60	64	124	59
Mon Apr 20 05:50:56 2015	1429523456	63	70	133	62
Mon Apr 20 05:50:55 2015	1429523455	64	81	145	57
Mon Apr 20 05:50:56 2015	1429523456	60	86	147	59
Mon Apr 20 05:50:56 2015	1429523456	91	69	160	61
Mon Apr 20 05:50:55 2015	1429523455	58	105	163	61
