starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:50:44 2015	1429523444	59	90	149	66
Mon Apr 20 05:50:44 2015	1429523444	61	89	151	62
Mon Apr 20 05:50:44 2015	1429523444	65	88	152	63
Mon Apr 20 05:50:44 2015	1429523444	65	88	153	63
Mon Apr 20 05:50:45 2015	1429523445	88	89	177	62
Mon Apr 20 05:50:44 2015	1429523444	91	92	183	67
Mon Apr 20 05:50:45 2015	1429523445	72	190	261	164
Mon Apr 20 05:50:45 2015	1429523445	248	74	322	60
Mon Apr 20 05:50:45 2015	1429523445	66	258	325	234
Mon Apr 20 05:50:46 2015	1429523446	139	192	331	189
