starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 01:10:49 2015	1428642649	63	258	321	256
Fri Apr 10 01:10:45 2015	1428642645	68	267	335	264
Fri Apr 10 01:10:51 2015	1428642651	83	252	335	249
Fri Apr 10 01:10:50 2015	1428642650	66	279	345	273
Fri Apr 10 01:10:50 2015	1428642650	89	290	379	287
Fri Apr 10 01:10:50 2015	1428642650	79	322	400	320
Fri Apr 10 01:10:46 2015	1428642646	71	329	400	325
Fri Apr 10 01:10:51 2015	1428642651	64	341	405	336
Fri Apr 10 01:10:48 2015	1428642648	78	336	414	332
Fri Apr 10 01:10:48 2015	1428642648	71	348	419	347
Fri Apr 10 01:10:45 2015	1428642645	65	365	430	362
Fri Apr 10 01:10:46 2015	1428642646	79	376	455	371
Fri Apr 10 01:10:46 2015	1428642646	66	393	459	389
Fri Apr 10 01:10:52 2015	1428642652	70	429	500	425
Fri Apr 10 01:10:49 2015	1428642649	77	432	509	431
Fri Apr 10 01:10:52 2015	1428642652	61	449	510	445
Fri Apr 10 01:10:47 2015	1428642647	69	445	514	441
Fri Apr 10 01:10:47 2015	1428642647	116	450	566	446
Fri Apr 10 01:10:44 2015	1428642644	64	540	604	534
Fri Apr 10 01:10:53 2015	1428642653	67	539	606	537
