starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:46:52 2015	1428648412	113	271	384	267
Fri Apr 10 02:46:52 2015	1428648412	92	344	436	343
Fri Apr 10 02:46:53 2015	1428648413	90	374	464	371
Fri Apr 10 02:46:54 2015	1428648414	119	351	470	348
Fri Apr 10 02:46:51 2015	1428648411	101	373	473	372
Fri Apr 10 02:46:55 2015	1428648415	105	409	514	408
Fri Apr 10 02:46:56 2015	1428648416	98	427	526	427
Fri Apr 10 02:46:53 2015	1428648413	86	479	565	477
Fri Apr 10 02:46:54 2015	1428648414	100	467	568	467
Fri Apr 10 02:46:55 2015	1428648415	113	513	626	508
