starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 06:21:25 2015	1428574885	37	268	306	266
Thu Apr 09 06:21:38 2015	1428574898	37	278	314	277
Thu Apr 09 06:21:38 2015	1428574898	36	279	315	276
Thu Apr 09 06:21:40 2015	1428574900	36	287	323	286
Thu Apr 09 06:21:35 2015	1428574895	37	293	330	291
Thu Apr 09 06:21:28 2015	1428574888	34	296	330	290
Thu Apr 09 06:21:37 2015	1428574897	38	310	348	307
Thu Apr 09 06:21:23 2015	1428574883	40	320	360	318
Thu Apr 09 06:21:25 2015	1428574885	53	307	360	304
Thu Apr 09 06:21:28 2015	1428574888	38	327	365	326
Thu Apr 09 06:21:23 2015	1428574883	45	322	367	310
Thu Apr 09 06:21:26 2015	1428574886	42	327	370	323
Thu Apr 09 06:21:39 2015	1428574899	36	342	378	340
Thu Apr 09 06:21:36 2015	1428574896	35	349	384	344
Thu Apr 09 06:21:25 2015	1428574885	33	357	390	352
Thu Apr 09 06:21:39 2015	1428574899	35	356	392	355
Thu Apr 09 06:21:37 2015	1428574897	39	391	431	376
Thu Apr 09 06:21:29 2015	1428574889	35	399	434	394
Thu Apr 09 06:21:35 2015	1428574895	37	398	435	394
Thu Apr 09 06:21:35 2015	1428574895	34	405	440	403
Thu Apr 09 06:21:23 2015	1428574883	42	398	440	392
Thu Apr 09 06:21:24 2015	1428574884	35	408	443	406
Thu Apr 09 06:21:29 2015	1428574889	37	414	450	410
Thu Apr 09 06:21:39 2015	1428574899	38	421	459	411
Thu Apr 09 06:21:38 2015	1428574898	39	421	461	416
Thu Apr 09 06:21:31 2015	1428574891	35	438	473	436
Thu Apr 09 06:21:31 2015	1428574891	40	437	476	436
Thu Apr 09 06:21:33 2015	1428574893	36	445	481	445
Thu Apr 09 06:21:27 2015	1428574887	39	454	493	451
Thu Apr 09 06:21:33 2015	1428574893	106	389	495	388
Thu Apr 09 06:21:34 2015	1428574894	33	482	515	477
Thu Apr 09 06:21:28 2015	1428574888	38	491	529	488
Thu Apr 09 06:21:24 2015	1428574884	32	501	534	500
Thu Apr 09 06:21:34 2015	1428574894	39	500	539	499
Thu Apr 09 06:21:36 2015	1428574896	37	505	542	500
Thu Apr 09 06:21:30 2015	1428574890	42	509	551	504
Thu Apr 09 06:21:27 2015	1428574887	36	518	554	517
Thu Apr 09 06:21:30 2015	1428574890	34	551	584	550
Thu Apr 09 06:21:32 2015	1428574892	114	480	594	479
Thu Apr 09 06:21:26 2015	1428574886	35	562	597	539
