starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 03:29:44 2015	1429514984	516	349	865	182
Mon Apr 20 03:29:48 2015	1429514988	520	347	867	179
Mon Apr 20 03:29:47 2015	1429514987	520	353	872	179
Mon Apr 20 03:29:50 2015	1429514990	521	357	879	187
Mon Apr 20 03:29:51 2015	1429514991	517	362	879	180
Mon Apr 20 03:29:46 2015	1429514986	537	360	897	186
Mon Apr 20 03:29:48 2015	1429514988	537	360	898	186
Mon Apr 20 03:29:49 2015	1429514989	539	365	904	189
Mon Apr 20 03:29:52 2015	1429514992	533	399	932	188
Mon Apr 20 03:29:45 2015	1429514985	533	400	933	187
