starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 06:07:43 2015	1428574063	36	259	295	253
Thu Apr 09 06:07:44 2015	1428574064	39	265	304	261
Thu Apr 09 06:07:42 2015	1428574062	39	273	312	270
Thu Apr 09 06:07:44 2015	1428574064	40	279	320	277
Thu Apr 09 06:07:40 2015	1428574060	43	323	366	322
Thu Apr 09 06:07:38 2015	1428574058	36	334	370	330
Thu Apr 09 06:07:44 2015	1428574064	36	335	371	330
Thu Apr 09 06:07:46 2015	1428574066	37	371	407	355
Thu Apr 09 06:07:41 2015	1428574061	36	373	409	372
Thu Apr 09 06:07:42 2015	1428574062	43	369	412	367
Thu Apr 09 06:07:37 2015	1428574057	36	413	449	409
Thu Apr 09 06:07:45 2015	1428574065	43	439	482	438
Thu Apr 09 06:07:38 2015	1428574058	35	450	486	448
Thu Apr 09 06:07:42 2015	1428574062	40	449	489	447
Thu Apr 09 06:07:43 2015	1428574063	33	469	502	467
Thu Apr 09 06:07:39 2015	1428574059	59	450	509	446
Thu Apr 09 06:07:41 2015	1428574061	45	466	510	464
Thu Apr 09 06:07:40 2015	1428574060	37	495	532	494
Thu Apr 09 06:07:45 2015	1428574065	36	503	540	501
Thu Apr 09 06:07:39 2015	1428574059	34	514	548	483
