starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:06:49 2015	1428646009	89	46	134	40
Fri Apr 10 02:06:48 2015	1428646008	93	44	137	43
Fri Apr 10 02:06:48 2015	1428646008	93	46	139	43
Fri Apr 10 02:06:48 2015	1428646008	93	47	140	41
Fri Apr 10 02:06:49 2015	1428646009	96	43	140	42
Fri Apr 10 02:06:49 2015	1428646009	94	47	140	46
Fri Apr 10 02:06:48 2015	1428646008	96	47	143	43
Fri Apr 10 02:06:48 2015	1428646008	99	49	148	49
Fri Apr 10 02:06:48 2015	1428646008	98	51	149	46
Fri Apr 10 02:06:48 2015	1428646008	100	51	151	42
