starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 02:20:54 2015	1429510854	58	20	78	19
Mon Apr 20 02:20:53 2015	1429510853	54	25	78	24
Mon Apr 20 02:20:54 2015	1429510854	59	23	82	22
Mon Apr 20 02:20:54 2015	1429510854	64	24	88	23
Mon Apr 20 02:20:54 2015	1429510854	66	28	95	28
Mon Apr 20 02:20:54 2015	1429510854	69	28	96	27
Mon Apr 20 02:20:54 2015	1429510854	68	32	100	32
Mon Apr 20 02:20:53 2015	1429510853	70	31	100	30
Mon Apr 20 02:20:54 2015	1429510854	79	30	110	30
Mon Apr 20 02:20:53 2015	1429510853	60	66	126	65
