starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 00:29:05 2015	1428553745	67	26	93	25
Thu Apr 09 00:29:04 2015	1428553744	67	31	98	28
Thu Apr 09 00:29:05 2015	1428553745	73	26	99	24
Thu Apr 09 00:29:05 2015	1428553745	68	32	100	26
Thu Apr 09 00:29:05 2015	1428553745	71	29	100	27
Thu Apr 09 00:29:04 2015	1428553744	71	29	101	24
Thu Apr 09 00:29:04 2015	1428553744	73	30	103	27
Thu Apr 09 00:29:05 2015	1428553745	73	33	106	31
Thu Apr 09 00:29:04 2015	1428553744	83	28	111	27
Thu Apr 09 00:29:05 2015	1428553745	85	34	119	29
