starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 05:43:54 2015	1428572634	33	51	84	47
Thu Apr 09 05:43:52 2015	1428572632	35	50	85	49
Thu Apr 09 05:43:55 2015	1428572635	33	52	86	51
Thu Apr 09 05:43:55 2015	1428572635	37	50	87	49
Thu Apr 09 05:43:53 2015	1428572633	35	53	88	51
Thu Apr 09 05:43:53 2015	1428572633	39	51	89	50
Thu Apr 09 05:43:55 2015	1428572635	38	52	89	48
Thu Apr 09 05:43:54 2015	1428572634	38	52	89	50
Thu Apr 09 05:43:54 2015	1428572634	36	53	89	53
Thu Apr 09 05:43:54 2015	1428572634	38	51	89	49
Thu Apr 09 05:43:53 2015	1428572633	37	52	90	50
Thu Apr 09 05:43:53 2015	1428572633	36	54	90	51
Thu Apr 09 05:43:54 2015	1428572634	39	51	90	47
Thu Apr 09 05:43:53 2015	1428572633	33	56	90	51
Thu Apr 09 05:43:55 2015	1428572635	35	55	90	49
Thu Apr 09 05:43:53 2015	1428572633	38	51	90	50
Thu Apr 09 05:43:53 2015	1428572633	37	53	90	48
Thu Apr 09 05:43:54 2015	1428572634	41	49	90	48
Thu Apr 09 05:43:54 2015	1428572634	38	52	91	51
Thu Apr 09 05:43:54 2015	1428572634	38	55	92	51
Thu Apr 09 05:43:55 2015	1428572635	34	60	95	56
Thu Apr 09 05:43:54 2015	1428572634	40	55	95	50
Thu Apr 09 05:43:55 2015	1428572635	42	54	96	48
Thu Apr 09 05:43:53 2015	1428572633	40	57	96	54
Thu Apr 09 05:43:54 2015	1428572634	38	60	98	58
Thu Apr 09 05:43:55 2015	1428572635	45	59	104	54
Thu Apr 09 05:43:53 2015	1428572633	37	68	105	46
Thu Apr 09 05:43:55 2015	1428572635	55	55	110	50
Thu Apr 09 05:43:54 2015	1428572634	43	67	110	64
Thu Apr 09 05:43:53 2015	1428572633	35	75	111	54
