starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 00:16:15 2015	1428639375	64	40	104	39
Fri Apr 10 00:16:12 2015	1428639372	64	40	105	40
Fri Apr 10 00:16:14 2015	1428639374	65	41	105	40
Fri Apr 10 00:16:13 2015	1428639373	66	41	107	39
Fri Apr 10 00:16:12 2015	1428639372	62	46	108	45
Fri Apr 10 00:16:15 2015	1428639375	63	45	108	43
Fri Apr 10 00:16:14 2015	1428639374	65	45	110	42
Fri Apr 10 00:16:15 2015	1428639375	65	44	110	41
Fri Apr 10 00:16:15 2015	1428639375	67	43	110	42
Fri Apr 10 00:16:15 2015	1428639375	64	47	110	42
Fri Apr 10 00:16:13 2015	1428639373	63	47	110	42
Fri Apr 10 00:16:13 2015	1428639373	70	42	112	39
Fri Apr 10 00:16:14 2015	1428639374	69	44	113	43
Fri Apr 10 00:16:14 2015	1428639374	67	47	114	43
Fri Apr 10 00:16:14 2015	1428639374	66	49	115	43
Fri Apr 10 00:16:14 2015	1428639374	66	49	115	44
Fri Apr 10 00:16:12 2015	1428639372	70	45	115	41
Fri Apr 10 00:16:15 2015	1428639375	68	48	115	42
Fri Apr 10 00:16:15 2015	1428639375	68	48	115	46
Fri Apr 10 00:16:13 2015	1428639373	72	44	116	43
Fri Apr 10 00:16:14 2015	1428639374	71	49	120	44
Fri Apr 10 00:16:13 2015	1428639373	72	48	120	46
Fri Apr 10 00:16:13 2015	1428639373	70	50	120	45
Fri Apr 10 00:16:14 2015	1428639374	68	52	121	49
Fri Apr 10 00:16:13 2015	1428639373	80	44	124	42
Fri Apr 10 00:16:14 2015	1428639374	82	42	125	41
Fri Apr 10 00:16:16 2015	1428639376	81	50	131	44
Fri Apr 10 00:16:13 2015	1428639373	86	48	135	43
Fri Apr 10 00:16:12 2015	1428639372	98	42	139	38
Fri Apr 10 00:16:15 2015	1428639375	91	55	146	54
