starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 00:16:22 2015	1428552982	62	27	89	25
Thu Apr 09 00:16:21 2015	1428552981	63	26	89	25
Thu Apr 09 00:16:22 2015	1428552982	64	30	94	27
Thu Apr 09 00:16:22 2015	1428552982	68	31	99	28
Thu Apr 09 00:16:21 2015	1428552981	72	27	99	24
Thu Apr 09 00:16:21 2015	1428552981	71	29	100	26
Thu Apr 09 00:16:21 2015	1428552981	66	34	100	28
Thu Apr 09 00:16:22 2015	1428552982	71	29	101	26
Thu Apr 09 00:16:23 2015	1428552983	74	29	103	26
Thu Apr 09 00:16:22 2015	1428552982	76	28	104	24
Thu Apr 09 00:16:22 2015	1428552982	73	31	104	28
Thu Apr 09 00:16:22 2015	1428552982	73	31	104	29
Thu Apr 09 00:16:21 2015	1428552981	69	35	105	34
Thu Apr 09 00:16:21 2015	1428552981	71	35	105	29
Thu Apr 09 00:16:22 2015	1428552982	72	33	105	27
Thu Apr 09 00:16:21 2015	1428552981	77	33	109	32
Thu Apr 09 00:16:21 2015	1428552981	79	30	110	25
Thu Apr 09 00:16:21 2015	1428552981	73	37	110	31
Thu Apr 09 00:16:22 2015	1428552982	83	31	114	28
Thu Apr 09 00:16:21 2015	1428552981	81	35	115	33
