starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:51:45 2015	1429523505	80	80	161	55
Mon Apr 20 05:51:45 2015	1429523505	85	81	166	57
Mon Apr 20 05:51:44 2015	1429523504	83	86	169	62
Mon Apr 20 05:51:46 2015	1429523506	87	82	170	57
Mon Apr 20 05:51:45 2015	1429523505	89	84	173	57
Mon Apr 20 05:51:46 2015	1429523506	92	84	177	57
Mon Apr 20 05:51:44 2015	1429523504	85	95	180	67
Mon Apr 20 05:51:44 2015	1429523504	99	82	181	57
Mon Apr 20 05:51:45 2015	1429523505	99	91	191	66
Mon Apr 20 05:51:45 2015	1429523505	104	91	195	62
