starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 07:06:22 2015	1428577582	72	289	361	285
Thu Apr 09 07:06:19 2015	1428577579	66	305	371	288
Thu Apr 09 07:06:21 2015	1428577581	72	330	402	328
Thu Apr 09 07:06:19 2015	1428577579	84	395	479	392
Thu Apr 09 07:06:22 2015	1428577582	68	410	479	405
Thu Apr 09 07:06:21 2015	1428577581	71	421	492	417
Thu Apr 09 07:06:23 2015	1428577583	64	459	523	457
Thu Apr 09 07:06:21 2015	1428577581	72	476	548	474
Thu Apr 09 07:06:19 2015	1428577579	76	503	579	497
Thu Apr 09 07:06:20 2015	1428577580	78	527	605	526
