starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:04:02 2015	1429524242	31	86	116	62
Mon Apr 20 06:04:02 2015	1429524242	38	93	131	65
Mon Apr 20 06:04:01 2015	1429524241	35	103	138	78
Mon Apr 20 06:04:02 2015	1429524242	47	91	139	67
Mon Apr 20 06:04:02 2015	1429524242	40	101	142	73
Mon Apr 20 06:04:01 2015	1429524241	38	143	181	121
Mon Apr 20 06:04:01 2015	1429524241	41	145	186	118
Mon Apr 20 06:04:01 2015	1429524241	38	160	198	133
Mon Apr 20 06:04:01 2015	1429524241	35	184	219	161
Mon Apr 20 06:04:00 2015	1429524240	118	139	257	114
