starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 02:08:38 2015	1428646118	88	47	135	46
Fri Apr 10 02:08:39 2015	1428646119	91	47	138	47
Fri Apr 10 02:08:38 2015	1428646118	95	44	139	40
Fri Apr 10 02:08:39 2015	1428646119	91	50	141	39
Fri Apr 10 02:08:39 2015	1428646119	108	43	151	41
Fri Apr 10 02:08:39 2015	1428646119	104	49	153	45
Fri Apr 10 02:08:39 2015	1428646119	98	61	159	54
Fri Apr 10 02:08:40 2015	1428646120	95	102	197	101
Fri Apr 10 02:08:40 2015	1428646120	194	135	329	134
Fri Apr 10 02:08:39 2015	1428646119	240	157	397	157
