starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 01:01:26 2015	1428555686	70	234	305	230
Thu Apr 09 01:01:24 2015	1428555684	70	236	305	235
Thu Apr 09 01:01:28 2015	1428555688	56	250	306	247
Thu Apr 09 01:01:25 2015	1428555685	66	260	326	258
Thu Apr 09 01:01:22 2015	1428555682	91	289	379	287
Thu Apr 09 01:01:28 2015	1428555688	66	321	387	314
Thu Apr 09 01:01:24 2015	1428555684	52	343	395	342
Thu Apr 09 01:01:23 2015	1428555683	63	370	433	367
Thu Apr 09 01:01:25 2015	1428555685	56	413	469	411
Thu Apr 09 01:01:29 2015	1428555689	57	444	500	438
Thu Apr 09 01:01:27 2015	1428555687	58	446	504	441
Thu Apr 09 01:01:26 2015	1428555686	45	459	505	457
Thu Apr 09 01:01:23 2015	1428555683	68	437	505	433
Thu Apr 09 01:01:24 2015	1428555684	92	417	509	412
Thu Apr 09 01:01:26 2015	1428555686	57	465	522	463
Thu Apr 09 01:01:27 2015	1428555687	61	472	533	469
Thu Apr 09 01:01:30 2015	1428555690	55	504	559	504
Thu Apr 09 01:01:29 2015	1428555689	56	522	579	521
Thu Apr 09 01:01:22 2015	1428555682	68	533	600	529
Thu Apr 09 01:01:30 2015	1428555690	46	617	663	617
