starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:54:05 2015	1429523645	57	48	104	44
Mon Apr 20 05:54:05 2015	1429523645	63	54	116	45
Mon Apr 20 05:54:05 2015	1429523645	63	65	128	44
Mon Apr 20 05:54:04 2015	1429523644	58	70	128	49
Mon Apr 20 05:54:05 2015	1429523645	65	64	129	44
Mon Apr 20 05:54:05 2015	1429523645	67	66	133	47
Mon Apr 20 05:54:05 2015	1429523645	69	64	134	53
Mon Apr 20 05:54:05 2015	1429523645	63	72	135	48
Mon Apr 20 05:54:05 2015	1429523645	68	69	137	48
Mon Apr 20 05:54:04 2015	1429523644	73	66	140	48
