starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 00:46:07 2015	1428641167	73	262	335	260
Fri Apr 10 00:46:04 2015	1428641164	66	318	384	316
Fri Apr 10 00:46:01 2015	1428641161	65	324	389	323
Fri Apr 10 00:46:05 2015	1428641165	71	319	391	317
Fri Apr 10 00:46:00 2015	1428641160	66	325	391	324
Fri Apr 10 00:45:58 2015	1428641158	69	327	396	324
Fri Apr 10 00:46:02 2015	1428641162	74	330	404	327
Fri Apr 10 00:46:06 2015	1428641166	65	350	415	343
Fri Apr 10 00:46:09 2015	1428641169	63	355	418	354
Fri Apr 10 00:45:58 2015	1428641158	64	376	441	373
Fri Apr 10 00:46:06 2015	1428641166	65	379	445	378
Fri Apr 10 00:46:03 2015	1428641163	66	387	453	383
Fri Apr 10 00:46:04 2015	1428641164	75	380	455	378
Fri Apr 10 00:46:00 2015	1428641160	72	393	465	388
Fri Apr 10 00:46:05 2015	1428641165	70	399	470	398
Fri Apr 10 00:45:59 2015	1428641159	66	409	475	404
Fri Apr 10 00:46:03 2015	1428641163	62	419	480	405
Fri Apr 10 00:46:07 2015	1428641167	64	420	484	418
Fri Apr 10 00:46:06 2015	1428641166	101	384	485	378
Fri Apr 10 00:46:01 2015	1428641161	70	419	489	417
Fri Apr 10 00:45:56 2015	1428641156	71	430	500	423
Fri Apr 10 00:46:02 2015	1428641162	66	445	511	444
Fri Apr 10 00:45:59 2015	1428641159	68	491	559	484
Fri Apr 10 00:45:57 2015	1428641157	68	496	564	487
Fri Apr 10 00:45:57 2015	1428641157	63	511	573	509
Fri Apr 10 00:46:08 2015	1428641168	63	512	575	510
Fri Apr 10 00:46:01 2015	1428641161	98	478	575	476
Fri Apr 10 00:46:08 2015	1428641168	68	517	585	515
Fri Apr 10 00:46:10 2015	1428641170	68	520	588	518
Fri Apr 10 00:46:09 2015	1428641169	70	532	602	516
