starttime	seconds	ctime	dtime	ttime	wait
Fri Apr 10 00:45:49 2015	1428641149	75	254	329	253
Fri Apr 10 00:45:52 2015	1428641152	73	277	349	273
Fri Apr 10 00:45:47 2015	1428641147	71	297	368	295
Fri Apr 10 00:45:51 2015	1428641151	64	317	381	314
Fri Apr 10 00:45:51 2015	1428641151	66	318	384	313
Fri Apr 10 00:45:49 2015	1428641149	68	331	399	327
Fri Apr 10 00:45:47 2015	1428641147	68	339	407	335
Fri Apr 10 00:45:53 2015	1428641153	72	337	409	332
Fri Apr 10 00:45:50 2015	1428641150	70	340	409	336
Fri Apr 10 00:45:48 2015	1428641148	70	346	415	345
Fri Apr 10 00:45:55 2015	1428641155	67	413	480	408
Fri Apr 10 00:45:52 2015	1428641152	73	413	486	408
Fri Apr 10 00:45:48 2015	1428641148	70	420	490	419
Fri Apr 10 00:45:55 2015	1428641155	69	435	504	432
Fri Apr 10 00:45:53 2015	1428641153	61	455	516	453
Fri Apr 10 00:45:54 2015	1428641154	67	452	519	449
Fri Apr 10 00:45:54 2015	1428641154	83	442	525	437
Fri Apr 10 00:45:49 2015	1428641149	65	497	562	493
Fri Apr 10 00:45:56 2015	1428641156	66	503	569	501
Fri Apr 10 00:45:50 2015	1428641150	67	513	580	512
