starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 02:44:15 2015	1429512255	0	56	56	16
Mon Apr 20 02:44:15 2015	1429512255	0	58	58	21
Mon Apr 20 02:44:15 2015	1429512255	0	59	59	21
Mon Apr 20 02:44:16 2015	1429512256	0	62	62	17
Mon Apr 20 02:44:15 2015	1429512255	0	63	63	16
Mon Apr 20 02:44:15 2015	1429512255	48	16	64	16
Mon Apr 20 02:44:16 2015	1429512256	51	18	68	17
Mon Apr 20 02:44:15 2015	1429512255	54	20	74	18
Mon Apr 20 02:44:15 2015	1429512255	70	24	94	21
Mon Apr 20 02:44:16 2015	1429512256	54	41	95	26
