starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 04:47:42 2015	1429519662	83	81	164	56
Mon Apr 20 04:47:43 2015	1429519663	84	82	166	60
Mon Apr 20 04:47:43 2015	1429519663	84	84	169	60
Mon Apr 20 04:47:42 2015	1429519662	83	88	171	63
Mon Apr 20 04:47:42 2015	1429519662	85	87	172	61
Mon Apr 20 04:47:42 2015	1429519662	84	89	173	62
Mon Apr 20 04:47:42 2015	1429519662	86	93	179	67
Mon Apr 20 04:47:43 2015	1429519663	95	86	181	61
Mon Apr 20 04:47:43 2015	1429519663	96	86	182	60
Mon Apr 20 04:47:42 2015	1429519662	89	109	198	56
