starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:57:03 2015	1429523823	56	65	121	59
Mon Apr 20 05:57:02 2015	1429523822	51	70	121	63
Mon Apr 20 05:57:03 2015	1429523823	58	69	128	62
Mon Apr 20 05:57:03 2015	1429523823	57	72	128	63
Mon Apr 20 05:57:02 2015	1429523822	61	90	151	63
Mon Apr 20 05:57:02 2015	1429523822	68	83	151	57
Mon Apr 20 05:57:03 2015	1429523823	66	87	153	61
Mon Apr 20 05:57:03 2015	1429523823	70	85	155	60
Mon Apr 20 05:57:03 2015	1429523823	67	93	160	64
Mon Apr 20 05:57:02 2015	1429523822	72	88	160	61
