starttime	seconds	ctime	dtime	ttime	wait
Thu Apr 09 05:39:39 2015	1428572379	38	48	86	47
Thu Apr 09 05:39:41 2015	1428572381	33	54	86	49
Thu Apr 09 05:39:39 2015	1428572379	33	55	88	51
Thu Apr 09 05:39:43 2015	1428572383	37	52	89	50
Thu Apr 09 05:39:40 2015	1428572380	36	54	89	50
Thu Apr 09 05:39:42 2015	1428572382	34	56	90	54
Thu Apr 09 05:39:44 2015	1428572384	36	54	90	53
Thu Apr 09 05:39:41 2015	1428572381	36	54	90	52
Thu Apr 09 05:39:40 2015	1428572380	36	53	90	51
Thu Apr 09 05:39:39 2015	1428572379	37	53	90	51
Thu Apr 09 05:39:42 2015	1428572382	36	54	90	50
Thu Apr 09 05:39:42 2015	1428572382	37	53	90	50
Thu Apr 09 05:39:43 2015	1428572383	40	50	90	48
Thu Apr 09 05:39:41 2015	1428572381	36	54	90	53
Thu Apr 09 05:39:39 2015	1428572379	40	50	90	48
Thu Apr 09 05:39:42 2015	1428572382	33	58	90	55
Thu Apr 09 05:39:40 2015	1428572380	38	52	90	47
Thu Apr 09 05:39:40 2015	1428572380	35	55	90	53
Thu Apr 09 05:39:43 2015	1428572383	39	52	91	50
Thu Apr 09 05:39:42 2015	1428572382	37	53	91	51
Thu Apr 09 05:39:43 2015	1428572383	38	53	91	52
Thu Apr 09 05:39:41 2015	1428572381	35	56	92	53
Thu Apr 09 05:39:41 2015	1428572381	38	55	93	51
Thu Apr 09 05:39:41 2015	1428572381	37	56	93	51
Thu Apr 09 05:39:40 2015	1428572380	38	56	94	52
Thu Apr 09 05:39:43 2015	1428572383	38	56	94	54
Thu Apr 09 05:39:41 2015	1428572381	35	59	94	54
Thu Apr 09 05:39:42 2015	1428572382	36	58	94	55
Thu Apr 09 05:39:42 2015	1428572382	37	57	94	50
Thu Apr 09 05:39:40 2015	1428572380	39	55	94	54
Thu Apr 09 05:39:43 2015	1428572383	43	51	95	50
Thu Apr 09 05:39:39 2015	1428572379	36	58	95	55
Thu Apr 09 05:39:43 2015	1428572383	37	58	95	55
Thu Apr 09 05:39:41 2015	1428572381	41	54	95	50
Thu Apr 09 05:39:40 2015	1428572380	35	60	95	56
Thu Apr 09 05:39:40 2015	1428572380	39	57	95	56
Thu Apr 09 05:39:40 2015	1428572380	39	56	96	53
Thu Apr 09 05:39:42 2015	1428572382	41	55	96	54
Thu Apr 09 05:39:43 2015	1428572383	37	62	99	58
Thu Apr 09 05:39:42 2015	1428572382	39	60	99	55
Thu Apr 09 05:39:40 2015	1428572380	39	61	100	55
Thu Apr 09 05:39:41 2015	1428572381	45	55	100	54
Thu Apr 09 05:39:42 2015	1428572382	39	61	100	54
Thu Apr 09 05:39:40 2015	1428572380	41	59	100	53
Thu Apr 09 05:39:43 2015	1428572383	44	56	100	52
Thu Apr 09 05:39:41 2015	1428572381	38	63	101	62
Thu Apr 09 05:39:41 2015	1428572381	48	55	103	54
Thu Apr 09 05:39:43 2015	1428572383	59	56	114	53
Thu Apr 09 05:39:43 2015	1428572383	60	55	115	54
Thu Apr 09 05:39:39 2015	1428572379	41	164	205	162
