starttime	seconds	ctime	dtime	ttime	wait
Sun Apr 19 23:31:34 2015	1429500694	117	178	295	76
Sun Apr 19 23:31:35 2015	1429500695	127	171	298	74
Sun Apr 19 23:31:36 2015	1429500696	128	193	321	84
Sun Apr 19 23:31:35 2015	1429500695	128	195	323	84
Sun Apr 19 23:31:34 2015	1429500694	130	195	325	81
Sun Apr 19 23:31:33 2015	1429500693	125	204	330	90
Sun Apr 19 23:31:34 2015	1429500694	131	200	330	85
Sun Apr 19 23:31:33 2015	1429500693	127	216	343	74
Sun Apr 19 23:31:35 2015	1429500695	130	244	374	88
Sun Apr 19 23:31:33 2015	1429500693	146	238	384	88
