starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 06:05:01 2015	1429524301	58	58	115	54
Mon Apr 20 06:05:01 2015	1429524301	57	59	116	56
Mon Apr 20 06:05:01 2015	1429524301	58	59	117	54
Mon Apr 20 06:05:01 2015	1429524301	59	58	117	55
Mon Apr 20 06:05:01 2015	1429524301	58	61	119	58
Mon Apr 20 06:05:01 2015	1429524301	64	63	127	59
Mon Apr 20 06:05:00 2015	1429524300	60	84	144	60
Mon Apr 20 06:05:01 2015	1429524301	62	85	147	59
Mon Apr 20 06:05:00 2015	1429524300	61	90	151	63
Mon Apr 20 06:05:02 2015	1429524302	89	67	155	60
