starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 01:32:18 2015	1429507938	81	63	144	59
Mon Apr 20 01:32:17 2015	1429507937	64	82	146	59
Mon Apr 20 01:32:17 2015	1429507937	61	85	146	58
Mon Apr 20 01:32:18 2015	1429507938	66	87	153	58
Mon Apr 20 01:32:17 2015	1429507937	68	86	153	59
Mon Apr 20 01:32:17 2015	1429507937	63	92	155	68
Mon Apr 20 01:32:18 2015	1429507938	68	90	157	66
Mon Apr 20 01:32:18 2015	1429507938	68	92	160	65
Mon Apr 20 01:32:18 2015	1429507938	70	94	164	58
Mon Apr 20 01:32:17 2015	1429507937	79	85	164	60
