starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:49:51 2015	1429523391	87	80	167	58
Mon Apr 20 05:49:50 2015	1429523390	84	86	170	61
Mon Apr 20 05:49:51 2015	1429523391	87	84	170	57
Mon Apr 20 05:49:50 2015	1429523390	82	89	171	61
Mon Apr 20 05:49:51 2015	1429523391	88	84	172	56
Mon Apr 20 05:49:50 2015	1429523390	89	85	175	58
Mon Apr 20 05:49:50 2015	1429523390	92	86	178	59
Mon Apr 20 05:49:50 2015	1429523390	95	84	179	60
Mon Apr 20 05:49:50 2015	1429523390	95	85	180	62
Mon Apr 20 05:49:51 2015	1429523391	117	83	200	59
