starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 03:41:48 2015	1429515708	82	27	109	26
Mon Apr 20 03:41:49 2015	1429515709	86	27	113	26
Mon Apr 20 03:41:48 2015	1429515708	95	24	119	24
Mon Apr 20 03:41:49 2015	1429515709	93	27	120	26
Mon Apr 20 03:41:48 2015	1429515708	94	27	121	26
Mon Apr 20 03:41:48 2015	1429515708	107	33	140	32
Mon Apr 20 03:41:48 2015	1429515708	111	32	143	31
Mon Apr 20 03:41:49 2015	1429515709	113	33	145	32
Mon Apr 20 03:41:49 2015	1429515709	113	33	146	33
Mon Apr 20 03:41:48 2015	1429515708	128	32	159	31
