starttime	seconds	ctime	dtime	ttime	wait
Mon Apr 20 05:56:13 2015	1429523773	88	65	153	60
Mon Apr 20 05:56:13 2015	1429523773	84	83	167	59
Mon Apr 20 05:56:13 2015	1429523773	87	83	170	59
Mon Apr 20 05:56:12 2015	1429523772	88	83	171	55
Mon Apr 20 05:56:12 2015	1429523772	87	86	173	60
Mon Apr 20 05:56:13 2015	1429523773	91	84	174	57
Mon Apr 20 05:56:13 2015	1429523773	86	89	176	62
Mon Apr 20 05:56:12 2015	1429523772	92	85	177	60
Mon Apr 20 05:56:13 2015	1429523773	94	91	185	67
Mon Apr 20 05:56:12 2015	1429523772	93	93	186	58
